LOCAL,TIPO_ACID,HORA,DIA_SEM,TEMPO,REGIAO,FATAIS,FERIDOS_GR
Cruzamento,ABALROAMENTO,12:55,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,12:59,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,17:15,SEGUNDA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,CHOQUE,07:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,13:00,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,08:00,SEGUNDA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,21:40,SEGUNDA-FEIRA,BOM,LESTE,0,1
Logradouro,ATROPELAMENTO,22:05,SEGUNDA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,10:20,SEGUNDA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,16:35,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,11:05,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,18:15,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,12:30,SEGUNDA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,10:00,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,13:00,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,08:05,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,11:01,TERCA-FEIRA,BOM,CENTRO,0,0
Cruzamento,ABALROAMENTO,09:44,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,17:30,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,18:00,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,CHOQUE,11:50,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,19:25,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,08:45,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,15:55,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,CHOQUE,13:30,TERCA-FEIRA,BOM,CENTRO,0,0
Logradouro,QUEDA,17:28,TERCA-FEIRA,BOM,CENTRO,0,1
Logradouro,ABALROAMENTO,14:50,TERCA-FEIRA,BOM,SUL,0,0
Cruzamento,COLISAO,10:30,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,18:35,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,09:25,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,15:50,TERCA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,09:50,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,14:00,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,15:00,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,08:20,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,18:30,TERCA-FEIRA,BOM,NORTE,0,0
Cruzamento,ATROPELAMENTO,10:00,TERCA-FEIRA,BOM,LESTE,0,0
Cruzamento,ABALROAMENTO,17:00,TERCA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,18:15,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,17:30,TERCA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,08:41,TERCA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,15:30,TERCA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,10:35,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,19:25,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,COLISAO,15:00,QUARTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,12:15,QUARTA-FEIRA,BOM,CENTRO,0,0
Logradouro,COLISAO,09:50,QUARTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,18:30,QUARTA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,14:10,QUARTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,08:41,QUARTA-FEIRA,CHUVOSO,CENTRO,0,0
Logradouro,ATROPELAMENTO,12:20,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,22:00,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ATROPELAMENTO,18:40,QUARTA-FEIRA,BOM,SUL,0,0
Logradouro,ABALROAMENTO,02:30,QUARTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,09:25,QUARTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,ABALROAMENTO,14:15,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,16:55,QUARTA-FEIRA,NUBLADO,NORTE,0,0
Logradouro,COLISAO,18:00,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ATROPELAMENTO,11:00,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,08:20,QUARTA-FEIRA,CHUVOSO,LESTE,0,0
Cruzamento,ABALROAMENTO,06:40,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,16:15,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,15:10,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,18:40,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,11:15,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,14:05,QUARTA-FEIRA,BOM,LESTE,0,0
Cruzamento,COLISAO,09:00,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,ABALROAMENTO,16:00,QUARTA-FEIRA,BOM,NORTE,0,0
Logradouro,COLISAO,18:15,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ABALROAMENTO,08:30,QUARTA-FEIRA,CHUVOSO,NORTE,0,0
Cruzamento,CHOQUE,11:35,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,COLISAO,09:40,QUARTA-FEIRA,NUBLADO,LESTE,0,0
Logradouro,COLISAO,17:50,QUARTA-FEIRA,BOM,LESTE,0,0
Logradouro,ATROPELAMENTO,08:15,QUARTA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,17:00,QUARTA-FEIRA,BOM,NORTE,0,1
Logradouro,ABALROAMENTO,15:10,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,COLISAO,10:40,QUINTA-FEIRA,CHUVOSO,SUL,0,0
Logradouro,COLISAO,21:00,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,ATROPELAMENTO,11:40,QUINTA-FEIRA,NUBLADO,CENTRO,0,1
Logradouro,COLISAO,16:45,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,COLISAO,15:40,QUINTA-FEIRA,NUBLADO,NORTE,0,0
Logradouro,CHOQUE,03:00,QUINTA-FEIRA,NUBLADO,SUL,0,0
Logradouro,ABALROAMENTO,14:30,QUINTA-FEIRA,BOM,CENTRO,0,0
Logradouro,ABALROAMENTO,16:30,QUINTA-FEIRA,NUBLADO,CENTRO,0,0
Logradouro,CHOQUE,15:45,QUINTA-FEIRA,BOM,SUL,0,0
Logradouro,QUEDA,08:50,QUINTA-FEIRA,BOM,LESTE,0,0
