;LATITUDE;LONGITUDE
0;-30.085209000000003;-51.233864000000004
1;-30.108313;-51.231947
2;-30.045868;-51.212026
3;-30.034456;-51.185614
4;-30.131425;-51.097359999999995
5;-30.0469;-51.225021999999996
6;-30.059818;-51.221523
7;-30.045945;-51.218406
8;-30.043633000000003;-51.215827000000004
9;-30.00445;-51.200627000000004
10;-30.045810999999997;-51.197984000000005
11;-30.008090000000003;-51.178845
12;-30.061729999999997;-51.149253
13;-30.04138;-51.146589
14;-30.004185999999997;-51.137857000000004
15;-30.030504999999998;-51.135712
16;-30.089691;-51.13255
17;-29990190.0;-51.125964
18;-30.019075;-51.115131
19;-30.094423;-51.229481
20;-30.036340000000003;-51.225952
21;-30.078165999999996;-51.225175
22;-30.023512;-51.221612
23;-30.033865999999996;-51.221243
24;-30.040496;-51.216612
25;-30.045472999999998;-51.215893
26;-30.106823;-51.198772999999996
27;-30.157727;-51.191565000000004
28;-30.087336999999998;-51.185829
29;-30.056946000000003;-51.177096
30;-30.017805;-51.169152000000004
31;-30.05462;-51.168563
32;-30.039267;-51.164193
33;-30.061090999999998;-51.151309000000005
34;-30.015033000000003;-51.147949
35;-30.016421;-51.13118
36;-30.106370000000002;-51.257433
37;-30.109053999999997;-51.254034999999995
38;-30.105424;-51.243516
39;-30.035978000000004;-51.237158
40;-30.030759999999997;-51.235121
41;-30.025209000000004;-51.225048
42;-30.029484000000004;-51.224939
43;-30.024221;-51.224858000000005
44;-30.034090999999997;-51.221845
45;-30.022104;-51.220384
46;-30.156003000000002;-51.219165000000004
47;-30.045343;-51.213913
48;-30.048140999999998;-51.212313
49;-30.04979;-51.212129
50;-30.080375;-51.210776
51;-30.052239;-51.206869
52;-30.057627;-51.201240999999996
53;-30.029638000000002;-51.199581
54;-30.016171000000003;-51.197241999999996
55;-30.047771;-51.196658
56;-30.027454;-51.196078
57;-30.006557;-51.193828
58;-29996489.0;-51.191881
59;-29996860.0;-51.190188
60;-30.024357000000002;-51.186336
61;-30.056841;-51.183921999999995
62;-30.039856;-51.177399
63;-30.00511;-51.17523
64;-30.027234000000004;-51.170424
65;-30.062019;-51.162892
66;-30.055283000000003;-51.159327000000005
67;-30.041705;-51.156859999999995
68;-30.029459000000003;-51.15574
69;-30.064432;-51.153586
70;-30.164131;-51.153469
71;-30.041387;-51.152671000000005
72;-30.067771;-51.150783000000004
73;-30.165002;-51.147843
74;-30.154159000000003;-51.140063
75;-30.004185999999997;-51.137857000000004
76;-30.009553000000004;-51.132803
77;-29980414.0;-51.114992
78;-29990347.0;-51.1039
79;-30.110033;-51.252989
80;-30.102890999999996;-51.252434
81;-30.082895;-51.247007
82;-30.035493;-51.240556
83;-30.035493;-51.240556
84;-30.035493;-51.240556
85;-30.035493;-51.240556
86;-30.039354;-51.225751
87;-30.042309999999997;-51.223619
88;-30.122412;-51.221016999999996
89;-30.086815;-51.216667
90;-30.028444;-51.215826
91;-30.012371999999996;-51.21144
92;-30.080716;-51.205329
93;-30.039193;-51.197375
94;-30.044974;-51.190457
95;-30.007327000000004;-51.190129
96;-30.068196;-51.188243
97;-30.031958000000003;-51.180391
98;-30.002724;-51.178765000000006
99;-30.034725;-51.174541
100;-30.040091999999998;-51.169246
101;-30.057265;-51.167285
102;-30.058628999999996;-51.148336
103;-30.029443;-51.139478000000004
104;-29994653.0;-51.130345
105;-30.09218;-51.130196999999995
106;-29987040.0;-51.116544
107;-30.033826;-51.106593
108;-30.108377;-51.23188
109;-30.100976;-51.230468
110;-30.109654;-51.226469
111;-30.04985;-51.224367
112;-30.030072999999998;-51.223420000000004
113;-30.027614;-51.219424
114;-30.057876;-51.215021
115;-30.011658;-51.212536
116;-30.022213;-51.208104
117;-30.061023;-51.206405
118;-30.146727000000002;-51.205353
119;-30.034584000000002;-51.204902000000004
120;-30.042208000000002;-51.203917
121;-30.005658;-51.202339
122;-30.006768;-51.193132
123;-29999270.0;-51.192584000000004
124;-30.070052;-51.189585
125;-30.036604999999998;-51.187627
126;-30.017856;-51.18633
127;-30.025948;-51.182066
128;-30.024354;-51.17992
129;-30.007746;-51.179056
130;-30.01045;-51.174469
131;-30.046768;-51.173814
132;-30.010817;-51.166108
133;-30.010708;-51.165259999999996
134;-30.06127;-51.164099
135;-29984317.0;-51.159565
136;-30.06832;-51.150771
137;-30.066546000000002;-51.148231
138;-30.066982;-51.147419
139;-29986560.0;-51.116572999999995
140;-29979053.0;-51.114543
141;-30.041679;-51.228749
142;-30.108359999999998;-51.226986
143;-30.028825;-51.223917
144;-30.024473999999998;-51.223663
145;-30.059551000000003;-51.223104
146;-30.033298;-51.22094
147;-30.09044;-51.220285
148;-30.038121000000004;-51.218063
149;-30.047013;-51.214046
150;-30.079072999999998;-51.209514
151;-30.0425;-51.199981
152;-30.081483000000002;-51.196971999999995
153;-30.050317;-51.194202000000004
154;-30.028655;-51.189642
155;-29999766.0;-51.189437
156;-30.053335999999998;-51.186376
157;-30.017856;-51.18633
158;-30.007182;-51.184472
159;-30.066176000000002;-51.178340999999996
160;-29987384.0;-51.178336
161;-30.03769;-51.174543
162;-29974030.0;-51.169934000000005
163;-30.05466;-51.161023
164;-29999746.0;-51.158097
165;-30.164059;-51.153279
166;-30.014421000000002;-51.113933
167;-30.126143;-51.100590999999994
168;-30.097309000000003;-51.248072
169;-30.085592;-51.240790999999994
