ID;LOG1;LOG2;PREDIAL1;LOCAL;TIPO_ACID;LOCAL_VIA;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;OUTRO;TEMPO;NOITE_DIA;FONTE;BOLETIM;REGIAO;DIA;MES;ANO;FX_HORA;CONT_ACID;CONT_VIT;UPS;LATITUDE;LONGITUDE
510867;R RIACHUELO;AV BORGES DE MEDEIROS;0;Cruzamento;COLISAO;R RIACHUELO & AV BORGES DE MEDEIROS;20110101 03:25;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;_205894;CENTRO;1;1;2011;3;1;0;1;-30,030682;-51,227723
510868;R VICENTE DA FONTOURA;AV PROTASIO ALVES;0;Cruzamento;COLISAO;R VICENTE DA FONTOURA & AV PROTASIO ALVES;20110101 03:30;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;211113;LESTE;1;1;2011;3;1;0;1;-30,039418;-51,195864
510807;AV ROCIO;;46;Logradouro;ABALROAMENTO;46 AV ROCIO;20110101 03:40;SABADO;0;0;1;1;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;111;LESTE;1;1;2011;3;1;1;13;-30,063102;-51,178508
510808;R DR PEREIRA NETO;;1058;Logradouro;ABALROAMENTO;1058 R DR PEREIRA NETO;20110101 04:35;SABADO;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;211;SUL;1;1;2011;4;1;1;5;-30,107889;-51,241849
510809;AV CARLOS GOMES;;705;Logradouro;ABALROAMENTO;705 AV CARLOS GOMES;20110101 04:45;SABADO;1;0;0;0;1;1;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;311;LESTE;1;1;2011;4;1;1;5;-30,027103;-51,181527
510810;AV BENTO GONCALVES;R PROF CRISTIANO FISCHER;0;Cruzamento;ABALROAMENTO;AV BENTO GONCALVES & R PROF CRISTIANO FISCHER;20110101 06:00;SABADO;2;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;411;LESTE;1;1;2011;6;1;1;5;-30,060719;-51,169636
510811;AV MAURICIO SELIGMAN;;415;Logradouro;CHOQUE;415 AV MAURICIO SELIGMAN;20110101 07:15;SABADO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;511;NORTE;1;1;2011;7;1;1;5;-30,006951;-51,095065
510812;R DR SEBASTIAO LEAO;AV JOAO PESSOA;0;Cruzamento;ABALROAMENTO;R DR SEBASTIAO LEAO & AV JOAO PESSOA;20110101 08:00;SABADO;2;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;611;CENTRO;1;1;2011;8;1;1;5;-30,042599;-51,214592
510813;R FREDERICO MENTZ;;120;Logradouro;QUEDA;120 R FREDERICO MENTZ;20110101 08:25;SABADO;2;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;711;NORTE;1;1;2011;8;1;1;5;-29,976628;-51,195991
510920;R DONA MARGARIDA;AV CEARA;0;Cruzamento;ABALROAMENTO;R DONA MARGARIDA & AV CEARA;20110101 10:05;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;212279;NORTE;1;1;2011;10;1;0;1;-29,99943;-51,191131
510921;R SENHOR DO BOM FIM;AV BERNARDINO SILVEIRA DE AMORIM;0;Cruzamento;ABALROAMENTO;R SENHOR DO BOM FIM & AV BERNARDINO SILVEIRA DE AMORIM;20110101 10:10;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;210032;NORTE;1;1;2011;10;1;0;1;-29,983493;-51,111866
511295;AV OSVALDO ARANHA;R SANTO ANTONIO;0;Cruzamento;ABALROAMENTO;AV OSVALDO ARANHA & R SANTO ANTONIO;20110101 12:30;SABADO;2;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;811;CENTRO;1;1;2011;12;1;1;5;-30,033005;-51,214531
510866;AV OTTO NIEMEYER;;2317;Logradouro;ABALROAMENTO;2317 AV OTTO NIEMEYER;20110101 13:15;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;209262;SUL;1;1;2011;13;1;0;1;-30,102782;-51,235621
510814;AV ANTONIO CARVALHO;;2500;Logradouro;CHOQUE;2500 AV ANTONIO CARVALHO;20110101 13:20;SABADO;1;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;911;LESTE;1;1;2011;13;1;1;5;-30,045563;-51,143544
510922;R DR SALVADOR FRANCA;;1800;Logradouro;COLISAO;1800 R DR SALVADOR FRANCA;20110101 14:00;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;211484;LESTE;1;1;2011;14;1;0;1;-30,046901;-51,178476
510815;AV PROTASIO ALVES;;7600;Logradouro;ABALROAMENTO;7600 AV PROTASIO ALVES;20110101 17:15;SABADO;1;0;0;0;1;0;0;0;0;1;0;0;0;0;BOM;DIA;DEPTRAN;1011;LESTE;1;1;2011;17;1;1;5;-30,041439;-51,134768
510816;AV ENG LUDOLFO BOEHL;;570;Logradouro;ABALROAMENTO;570 AV ENG LUDOLFO BOEHL;20110101 18:30;SABADO;1;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;DEPTRAN;1111;SUL;1;1;2011;18;1;1;5;-30,082507;-51,20714
510817;ESTR JOAO ANTONIO SILVEIRA;;42;Logradouro;ABALROAMENTO;42 ESTR JOAO ANTONIO SILVEIRA;20110101 20:30;SABADO;2;0;0;0;1;0;0;0;0;0;0;0;2;0;BOM;NOITE;DEPTRAN;1311;SUL;1;1;2011;20;1;1;5;-30,164819;-51,154657
510869;AV INDEPENDENCIA;R RAMIRO BARCELOS;0;Cruzamento;COLISAO;AV INDEPENDENCIA & R RAMIRO BARCELOS;20110101 21:10;SABADO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;212352;CENTRO;1;1;2011;21;1;0;1;-30,028107;-51,208469
510820;AV BENTO GONCALVES;;3031;Logradouro;ABALROAMENTO;3031 AV BENTO GONCALVES;20110102 07:10;DOMINGO;2;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;DEPTRAN;1411;LESTE;2;1;2011;7;1;1;5;-30,062871;-51,18492
510821;AV BENTO GONCALVES;;3031;Logradouro;CHOQUE;3031 AV BENTO GONCALVES;20110102 09:00;DOMINGO;0;0;0;0;1;0;0;0;0;1;0;0;0;0;BOM;DIA;DEPTRAN;1511;LESTE;2;1;2011;9;1;0;1;-30,062871;-51,18492
510923;AV BALTAZAR DE OLIVEIRA GARCIA;;4987;Logradouro;ABALROAMENTO;4987 AV BALTAZAR DE OLIVEIRA GARCIA;20110102 10:28;DOMINGO;0;0;0;0;1;0;0;1;0;0;0;0;0;0;BOM;DIA;EPTC;212353;NORTE;2;1;2011;10;1;0;1;-30,0109;-51,095944
510924;AV PLINIO BRASIL MILANO;R MARECHAL JOSE INACIO DA SILVA;0;Cruzamento;EVENTUAL;AV PLINIO BRASIL MILANO & R MARECHAL JOSE INACIO DA SILVA;20110102 11:44;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;200328;NORTE;2;1;2011;11;1;0;1;-30,018738;-51,178035
510875;R PROF CLEMENTE PINTO;R BISPO LARANJEIRA;0;Cruzamento;ABALROAMENTO;R PROF CLEMENTE PINTO & R BISPO LARANJEIRA;20110102 11:55;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;209291;SUL;2;1;2011;11;1;0;1;-30,06845;-51,213125
510872;TUN NS DA CONCEICAO-ELEVADAS;;0;Logradouro;ABALROAMENTO;TUN NS DA CONCEICAO-ELEVADAS;20110102 13:25;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;205816;CENTRO;2;1;2011;13;1;0;1;-30,027534;-51,219428
510822;AV JUCA BATISTA;;2600;Logradouro;COLISAO;2600 AV JUCA BATISTA;20110102 14:11;DOMINGO;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;DIA;DEPTRAN;1611;SUL;2;1;2011;14;1;1;5;-30,147335;-51,203561
510876;AV RODRIGUES DA FONSECA;R ATILIO SUPERTTI;0;Cruzamento;COLISAO;AV RODRIGUES DA FONSECA & R ATILIO SUPERTTI;20110102 17:15;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;209446;SUL;2;1;2011;17;1;0;1;-30,114766;-51,211794
510873;AV LOUREIRO DA SILVA;AV AUGUSTO DE CARVALHO;0;Cruzamento;ABALROAMENTO;AV LOUREIRO DA SILVA & AV AUGUSTO DE CARVALHO;20110102 17:30;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;205817;CENTRO;2;1;2011;17;1;0;1;-30,036456;-51,232698
510823;AV ASSIS BRASIL;;8000;Logradouro;QUEDA;8000 AV ASSIS BRASIL;20110102 18:30;DOMINGO;2;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;1811;NORTE;2;1;2011;18;1;1;5;-29,983314;-51,118055
510818;AV EDGAR PIRES DE CASTRO;AV DO LAMI;0;Cruzamento;COLISAO;AV EDGAR PIRES DE CASTRO & AV DO LAMI;20110102 19:40;DOMINGO;0;0;0;0;2;0;0;0;0;0;1;0;0;0;BOM;NOITE;EPTC;209261;SUL;2;1;2011;19;1;0;1;-30,217884;-51,10094
510874;AV JUCA BATISTA;;1059;Logradouro;COLISAO;1059 AV JUCA BATISTA;20110102 20:00;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;NOITE;EPTC;207459;SUL;2;1;2011;20;1;0;1;-30,141851;-51,21756
511086;AV PROF OSCAR PEREIRA;;5554;Logradouro;COLISAO;5554 AV PROF OSCAR PEREIRA;20110102 20:00;DOMINGO;0;0;0;0;2;0;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;EPTC;211348;LESTE;2;1;2011;20;1;0;1;-30,090442;-51,181104
510824;ESTR AFONSO LOURENCO MARIANTE;;4645;Logradouro;ABALROAMENTO;4645 ESTR AFONSO LOURENCO MARIANTE;20110102 20:15;DOMINGO;1;0;0;0;1;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;1911;SUL;2;1;2011;20;1;1;5;-30,100929;-51,140493
510871;AV PAULO GAMA;LG PROF FRANCISCO DE P B DA ROCHA;0;Cruzamento;CHOQUE;AV PAULO GAMA & LG PROF FRANCISCO DE P B DA ROCHA;20110102 23:40;DOMINGO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;211340;LESTE;2;1;2011;23;1;0;1;-30,033536;-51,217828
510870;AV PAULO GAMA;LG PROF FRANCISCO DE P B DA ROCHA;0;Cruzamento;CHOQUE;AV PAULO GAMA & LG PROF FRANCISCO DE P B DA ROCHA;20110102 23:45;DOMINGO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;EPTC;208333;LESTE;2;1;2011;23;1;0;1;-30,033536;-51,217828
510819;ESTR DO VAREJAO;;517;Logradouro;EVENTUAL;517 ESTR DO VAREJAO;20110103 03:10;SEGUNDA-FEIRA;2;0;0;0;0;0;0;0;0;0;1;0;0;0;BOM;NOITE;DEPTRAN;2211;SUL;3;1;2011;3;1;1;5;-30,220392;-51,093034
510949;AV SATURNINO DE BRITO;;975;Logradouro;CHOQUE;975 AV SATURNINO DE BRITO;20110103 07:00;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;BOM;DIA;EPTC;211104;LESTE;3;1;2011;7;1;0;1;-30,032185;-51,151082
510962;AV SERTORIO;AL TRES DE OUTUBRO;0;Cruzamento;ABALROAMENTO;AV SERTORIO & AL TRES DE OUTUBRO;20110103 07:05;SEGUNDA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;212435;NORTE;3;1;2011;7;1;0;1;-30,001085;-51,128313
510950;R TEN ALPOIM;;525;Logradouro;COLISAO;525 R TEN ALPOIM;20110103 07:50;SEGUNDA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;0;NUBLADO;DIA;EPTC;211033;LESTE;3;1;2011;7;1;0;1;-30,066465;-51,177187
