"ID";"LOG1";"LOG2";"PREDIAL1";"LOCAL";"TIPO_ACID";"LOCAL_VIA";"QUEDA_ARR";"DATA_HORA";"DATA";"DIA_SEM";"HORA";"FERIDOS";"FERIDOS_GR";"MORTES";"MORTE_POST";"FATAIS";"AUTO";"TAXI";"LOTACAO";"ONIBUS_URB";"ONIBUS_MET";"ONIBUS_INT";"CAMINHAO";"MOTO";"CARROCA";"BICICLETA";"OUTRO";"TEMPO";"NOITE_DIA";"FONTE";"BOLETIM";"REGIAO";"DIA";"MES";"ANO";"FX_HORA";"CONT_ACID";"CONT_VIT";"UPS";"CONSORCIO";"CORREDOR";"LONGITUDE";"LATITUDE"
608786;"R CLENIO BARILLI";;163;"Logradouro";"ABALROAMENTO";"163 R CLENIO BARILLI";0;"2015-06-02T07:15:00";"20150602";"TERCA-FEIRA";"07:15";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"NUBLADO";"DIA";"DDT";"0104938015";"SUL";2;6;2015;7;1;0;1;;0;"-51.148042";"-30.166431"
617372;"R CAPITAO PEDROSO";;560;"Logradouro";"QUEDA";"560 R CAPITAO PEDROSO";0;"2015-10-06T19:00:00";"20151006";"TERCA-FEIRA";"19:00";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;"BOM";"NOITE";"DEPTRAN";"699915";"SUL";6;10;2015;19;1;1;5;"STS";0;"-51.148661";"-30.164801"
602605;"ESTR CHACARA DO BANCO";;310;"Logradouro";"ABALROAMENTO";"310 ESTR CHACARA DO BANCO";0;"2015-02-12T13:15:00";"20150212";"QUINTA-FEIRA";"13:15";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"093915";"SUL";12;2;2015;13;1;1;5;;0;"-51.144287";"-30.163765"
616975;"R BRINCO DE PRINCESA";;547;"Logradouro";"ABALROAMENTO";"547 R BRINCO DE PRINCESA";0;"2015-09-14T06:55:00";"20150914";"SEGUNDA-FEIRA";"06:55";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;"BOM";"DIA";"DDT";"0109831415";"SUL";14;9;2015;6;1;0;1;;0;"-51.142164";"-30.172022"
610456;"R BELIZE";;1741;"Logradouro";"COLISAO";"1741 R BELIZE";0;"2015-06-24T19:20:00";"20150624";"QUARTA-FEIRA";"19:20";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"DDT";"0105687715";"SUL";24;6;2015;19;1;0;1;;0;"-51.137329";"-30.163535"
608806;"ESTR JOAO ANTONIO SILVEIRA";;548;"Logradouro";"QUEDA";"548 ESTR JOAO ANTONIO SILVEIRA";0;"2015-06-05T06:45:00";"20150605";"SEXTA-FEIRA";"06:45";1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"397615";"SUL";5;6;2015;6;1;1;5;;0;"-51.150455";"-30.162172"
618333;"ESTR JOAO ANTONIO SILVEIRA";;548;"Logradouro";"ABALROAMENTO";"548 ESTR JOAO ANTONIO SILVEIRA";0;"2015-10-26T23:05:00";"20151026";"SEGUNDA-FEIRA";"23:05";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"NOITE";"DEPTRAN";"745415";"SUL";26;10;2015;23;1;1;5;;0;"-51.150455";"-30.162172"
605328;"ESTR JOAO ANTONIO SILVEIRA";;568;"Logradouro";"COLISAO";"568 ESTR JOAO ANTONIO SILVEIRA";0;"2015-04-12T01:50:00";"20150412";"DOMINGO";"01:50";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;"BOM";"NOITE";"EPTC";"283798";"SUL";12;4;2015;1;1;0;1;;0;"-51.150208";"-30.161897"
612522;"ESTR JOAO ANTONIO SILVEIRA";;673;"Logradouro";"ABALROAMENTO";"673 ESTR JOAO ANTONIO SILVEIRA";0;"2015-07-13T09:45:00";"20150713";"SEGUNDA-FEIRA";"09:45";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;"CHUVOSO";"DIA";"DDT";"0106864415";"SUL";13;7;2015;9;1;0;1;;0;"-51.149412";"-30.161096"
601339;"ESTR BARRO VERMELHO";;262;"Logradouro";"COLISAO";"262 ESTR BARRO VERMELHO";0;"2015-01-13T17:15:00";"20150113";"TERCA-FEIRA";"17:15";1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;"BOM";"DIA";"DEPTRAN";"024615";"SUL";13;1;2015;17;1;1;5;;0;"-51.147761";"-30.162211"
