LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,HORA.1,ACID_GRAVE
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,LESTE,TARDE,NAO
Logradouro,CHOQUE,2,0,0,0,0,0,0,0,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,NUBLADO,LESTE,TARDE,NAO
Cruzamento,COLISAO,1,0,0,1,0,0,0,0,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,LESTE,TARDE,NAO
Cruzamento,COLISAO,1,0,1,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,NUBLADO,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,NUBLADO,NORTE,TARDE,NAO
Logradouro,COLISAO,1,1,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,BOM,LESTE,MANHA,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,NUBLADO,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,NUBLADO,NORTE,TARDE,NAO
Logradouro,COLISAO,3,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,NUBLADO,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,SUL,TARDE,NAO
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,MADRUGADA,TERCA-FEIRA,BOM,LESTE,MADRUGADA,NAO
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,1,0,0,0,MANHA,TERCA-FEIRA,BOM,NORTE,MANHA,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,BOM,SUL,MANHA,NAO
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,SUL,MANHA,NAO
Cruzamento,CAPOTAGEM,0,0,0,1,0,0,1,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,SUL,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,CHUVOSO,SUL,NOITE,NAO
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,SUL,NOITE,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,CHUVOSO,CENTRO,NOITE,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,CHUVOSO,SUL,NOITE,NAO
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,CENTRO,MANHA,NAO
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,NUBLADO,CENTRO,TARDE,NAO
Logradouro,CHOQUE,1,0,0,0,0,0,1,0,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,SUL,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,1,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,NUBLADO,SUL,TARDE,NAO
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,SUL,NOITE,NAO
Logradouro,COLISAO,1,0,0,0,0,0,1,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,CENTRO,MANHA,NAO
Cruzamento,COLISAO,2,0,0,0,0,0,1,0,0,0,TARDE,QUARTA-FEIRA,CHUVOSO,CENTRO,TARDE,NAO
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,CENTRO,MANHA,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,0,0,1,TARDE,QUARTA-FEIRA,BOM,NORTE,TARDE,NAO
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUARTA-FEIRA,BOM,CENTRO,TARDE,NAO
