LOCAL,TIPO_ACID,DIA_SEM,TEMPO,REGIAO,HORA_DISCRETIZADA,ACID_GRAVE
Cruzamento,COLISAO,SEGUNDA-FEIRA,CHUVOSO,CENTRO,NOITE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,SABADO,BOM,CENTRO,TARDE,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,SEXTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,NUBLADO,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,CHOQUE,QUARTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,COLISAO,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,QUINTA-FEIRA,CHUVOSO,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,QUEDA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,TERCA-FEIRA,BOM,CENTRO,NOITE,SIM
Cruzamento,ABALROAMENTO,QUINTA-FEIRA,BOM,NORTE,MADRUGADA,SIM
Logradouro,CHOQUE,DOMINGO,BOM,SUL,NOITE,SIM
Cruzamento,ABALROAMENTO,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Cruzamento,ABALROAMENTO,QUARTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,COLISAO,SABADO,BOM,LESTE,TARDE,SIM
Logradouro,QUEDA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,COLISAO,DOMINGO,CHUVOSO,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,SEGUNDA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,COLISAO,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,DOMINGO,NUBLADO,SUL,MADRUGADA,SIM
Logradouro,QUEDA,SABADO,BOM,LESTE,TARDE,SIM
Logradouro,CHOQUE,SABADO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,QUARTA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,CHOQUE,DOMINGO,BOM,CENTRO,MADRUGADA,SIM
