;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
95;-30.007327000000004;-51.190129;1;3;4;0;0;0;0;0;8
96;-30.068196;-51.188243;1;3;4;0;0;0;1;0;8
97;-30.031958000000003;-51.180391;1;1;4;0;0;0;0;0;8
98;-30.002724;-51.17876500000001;1;1;4;0;0;0;0;0;8
99;-30.034725;-51.174541;1;1;4;1;0;0;0;0;1
100;-30.040092;-51.169246;0;3;4;0;0;0;1;0;0
101;-30.057265;-51.167285;1;1;4;0;0;0;0;1;7
102;-30.058629;-51.148336;0;0;4;1;0;0;0;0;0
103;-30.029443;-51.139478;0;1;4;0;0;0;0;0;0
104;-29994653.0;-51.130345;1;3;4;2;0;0;0;1;6
105;-30.09218;-51.130197;1;1;4;1;0;0;0;0;1
106;-29987040.0;-51.116544;1;0;4;1;0;0;0;0;6
107;-30.033826;-51.106593;1;3;4;0;0;0;1;0;8
108;-30.108377;-51.23188;1;1;5;1;0;0;0;0;1
109;-30.100976;-51.230468;1;1;5;0;0;0;0;1;7
110;-30.109654;-51.226469;1;3;5;1;0;0;1;0;8
111;-30.04985;-51.224367;1;1;5;1;0;0;0;0;1
112;-30.030073;-51.22342;1;3;5;0;0;0;1;0;8
113;-30.027614;-51.219424;1;3;5;0;0;0;0;1;7
114;-30.057876;-51.215021;1;1;5;0;0;0;1;0;8
115;-30.011658;-51.212536;1;3;5;0;0;0;2;0;3
116;-30.022213;-51.208104;1;0;5;1;0;0;0;0;1
117;-30.061023;-51.206405;1;3;5;2;0;0;0;1;7
118;-30.146727;-51.205353;1;0;5;1;0;0;0;1;7
119;-30.034584;-51.204902;1;1;5;0;0;0;0;1;7
120;-30.042208;-51.203917;0;3;5;0;0;0;1;0;0
121;-30.005658;-51.202339;1;1;5;1;0;0;0;0;1
122;-30.006768;-51.193132;1;3;5;0;0;0;1;0;8
123;-29999270.0;-51.192584;1;3;5;1;0;0;0;1;6
124;-30.070052;-51.189585;1;0;5;1;0;0;0;0;1
125;-30.036605;-51.187627;1;3;5;0;0;0;2;0;3
126;-30.017856;-51.18633;0;1;5;0;0;0;0;0;0
127;-30.025948;-51.182066;1;3;5;0;0;0;0;0;8
128;-30.024354;-51.17992;1;3;5;0;0;0;0;0;8
129;-30.007746;-51.179056;1;1;5;1;0;0;0;1;7
130;-30.01045;-51.174469;1;1;5;3;0;0;0;0;1
131;-30.046768;-51.173814;1;3;5;0;0;0;0;0;8
132;-30.010817;-51.166108;0;3;5;0;0;0;0;0;0
133;-30.010708;-51.16526;1;1;5;0;0;0;0;0;8
134;-30.06127;-51.164099;1;3;5;0;0;0;0;1;7
135;-29984317.0;-51.159565;1;1;5;0;0;0;2;0;6
136;-30.06832;-51.150771;0;2;5;0;0;0;0;0;0
137;-30.066546;-51.148231;1;3;5;0;0;0;1;0;8
138;-30.066982;-51.147419;1;3;5;0;0;0;0;0;8
139;-29986560.0;-51.116573;1;0;5;1;1;0;0;0;4
140;-29979053.0;-51.114543;1;1;5;1;1;0;0;0;4
141;-30.041679;-51.228749;1;1;6;0;0;0;1;0;8
142;-30.10836;-51.226986;1;3;6;0;0;0;2;0;3
143;-30.028825;-51.223917;1;3;6;0;0;0;1;1;7
144;-30.024474;-51.223663;1;0;6;1;1;0;1;0;4
145;-30.059551000000006;-51.223104;1;3;6;1;0;0;1;0;8
146;-30.033298;-51.22094;1;3;6;0;0;0;1;0;8
147;-30.09044;-51.220285;1;2;6;0;0;0;1;1;7
148;-30.038121000000004;-51.218063;1;1;6;1;0;0;0;0;1
149;-30.047013;-51.214046;1;1;6;0;0;0;1;0;8
150;-30.079073;-51.209514;1;2;6;0;0;0;0;0;8
151;-30.0425;-51.199981;1;4;6;1;0;0;0;0;8
152;-30.081483;-51.196972;0;2;6;1;0;0;0;0;0
153;-30.050317;-51.194202;1;1;6;0;0;0;0;1;7
154;-30.028655;-51.189642;0;1;6;0;0;0;1;0;0
155;-29999766.0;-51.189437;1;1;6;0;0;0;0;0;6
156;-30.053336;-51.186376;1;5;6;0;0;0;1;0;8
157;-30.017856;-51.18633;1;1;6;0;0;0;0;1;7
158;-30.007182;-51.184472;1;3;6;0;0;0;0;0;8
159;-30.066176;-51.178341;1;1;6;0;0;0;1;0;8
160;-29987384.0;-51.178336;1;1;6;1;0;0;0;0;6
161;-30.03769;-51.174543;1;3;6;0;0;0;2;1;3
162;-29974030.0;-51.16993400000001;1;1;6;1;0;0;1;0;6
163;-30.05466;-51.161023;1;3;6;0;0;0;1;0;8
164;-29999746.0;-51.158097;1;2;6;0;0;0;1;0;6
165;-30.164059;-51.153279;1;3;6;0;0;0;0;0;8
166;-30.014421;-51.113933;1;1;6;0;0;0;0;0;8
167;-30.126143;-51.100591;1;1;6;2;0;0;2;0;3
168;-30.097309000000006;-51.248072;0;1;0;0;0;0;0;1;7
169;-30.085592;-51.240791;1;3;0;1;0;0;0;1;7
170;-30.083208000000006;-51.240213;0;3;0;0;0;0;0;0;0
171;-30.083208000000006;-51.240213;1;1;0;1;0;0;0;0;1
172;-30.041987;-51.230824;1;3;0;0;0;0;1;0;9
173;-30.026472;-51.22727800000001;1;0;0;1;0;0;0;0;1
174;-30.134984000000006;-51.226769;1;3;0;0;0;0;0;0;9
175;-30.157669;-51.226101;1;5;0;0;0;0;1;0;9
176;-30.099904;-51.22472;0;1;0;0;0;0;1;0;0
177;-30.138732;-51.222744;1;1;0;1;1;0;0;0;4
178;-30.137993;-51.220541;0;1;0;0;0;0;0;0;0
179;-30.025742;-51.2189;1;1;0;0;0;0;1;0;9
180;-30.047077;-51.218819;1;3;0;0;0;0;0;0;9
181;-30.032413;-51.218648;1;3;0;0;0;0;0;0;9
182;-30.040657;-51.214429;1;1;0;0;0;0;0;0;9
183;-30.04379;-51.21027;0;0;0;1;0;0;0;1;7
184;-30.059494;-51.207325;1;3;0;0;0;0;0;1;7
185;-30.02763;-51.200157;0;1;0;0;0;0;1;0;0
186;-30.041220000000006;-51.191234;1;1;0;0;0;0;0;1;7
187;-30.02331;-51.190227;1;1;0;0;0;0;0;0;9
188;-29996946.0;-51.190187;1;1;0;1;0;0;0;1;6
189;-30.001034000000004;-51.19011500000001;0;1;0;0;0;0;0;0;0
190;-30.042032;-51.189448;1;0;0;1;1;0;0;0;4
191;-30.004209000000003;-51.182598;1;3;0;1;0;0;0;0;9
192;-30.0425;-51.170697;0;1;0;0;0;0;0;0;0
193;-29974065.0;-51.169758;1;1;0;2;0;0;0;0;6
194;-30.060719;-51.169636;0;3;0;1;0;0;0;0;0
195;-30.040168;-51.16960200000001;1;0;0;1;0;0;0;1;7
196;-30.060766;-51.160417;1;1;0;1;0;0;0;1;7
197;-30.007353;-51.154374;1;3;0;1;0;0;0;0;9
198;-30.06502;-51.151343;1;1;0;1;0;0;1;0;1
199;-30.009666;-51.148819;1;1;0;0;0;0;0;0;9
200;-30.008756;-51.144367;1;4;0;2;0;0;0;0;9
201;-29984861.0;-51.115751;0;1;0;0;0;0;0;0;6
202;-30.082895;-51.247007;1;1;1;0;0;0;1;0;9
203;-30.041264;-51.232891;0;1;1;1;0;0;0;0;0
204;-30.092808;-51.230335;0;1;1;1;1;0;0;0;4
205;-30.099904;-51.22472;1;1;1;1;1;0;0;1;4
206;-30.091088;-51.222829;1;3;1;0;0;0;0;0;9
207;-30.035521000000006;-51.221661;1;2;1;0;0;0;0;0;9
208;-30.027131;-51.221071;1;1;1;0;0;0;0;0;9
209;-30.022982;-51.219027;1;3;1;0;0;0;0;1;7
210;-30.083968;-51.214574;0;3;1;0;0;0;1;1;7
211;-30.037774;-51.209401;1;3;1;0;0;0;1;0;9
212;-30.122956;-51.208681;0;3;1;0;0;0;0;0;0
213;-30.074967;-51.201256;1;3;1;0;0;0;0;0;9
214;-30.042398;-51.200259;1;1;1;1;0;0;0;1;7
215;-30.039575;-51.19441;0;1;1;0;0;0;1;0;0
216;-30.086538;-51.187496;1;2;1;1;0;0;0;0;9
217;-30.01375;-51.187024;1;3;1;0;0;0;0;0;9
218;-30.162285;-51.183157;0;1;1;1;0;0;0;1;7
219;-30.167019;-51.181251;1;1;1;1;1;0;0;1;4
220;-30.007084000000006;-51.171519;1;3;1;0;0;0;1;0;9
221;-30.059258000000003;-51.169498;1;3;1;1;1;0;0;1;4
222;-30.025025;-51.141273;1;2;1;0;0;0;0;1;7
223;-30.041264;-51.232891;1;3;2;1;0;0;0;0;9
224;-30.055739000000006;-51.229241;1;1;2;1;1;0;0;0;4
225;-30.051565000000004;-51.228309;1;1;2;1;0;0;0;1;7
226;-30.108762;-51.222761;1;2;2;2;0;0;0;0;1
227;-30.032191;-51.22266;1;2;2;0;0;0;0;1;7
228;-30.028664000000006;-51.221293;1;1;2;0;0;0;0;0;9
229;-30.03013;-51.215126;0;1;2;0;0;0;0;0;0
230;-30.0731;-51.202595;0;1;2;1;1;0;0;0;4
