LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SABADO;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;COLISAO;MADRUGADA;SABADO;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MADRUGADA;DOMINGO;BOM;SUL;NAO
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SABADO;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;QUARTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;QUEDA;TARDE;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;CHOQUE;NOITE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;DOMINGO;BOM;LESTE;NAO
Logradouro;QUEDA;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;TARDE;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MADRUGADA;DOMINGO;BOM;LESTE;NAO
Logradouro;COLISAO;NOITE;SEGUNDA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SABADO;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;DOMINGO;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;NOITE;QUINTA-FEIRA;CHUVOSO;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
