LOCAL;TIPO_ACID;HORA_DISCRETIZADA;DIA_SEM;TEMPO;REGIAO;ACID_GRAVE
Cruzamento;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;QUEDA;MANHA;SABADO;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SABADO;BOM;SUL;NAO
Logradouro;COLISAO;NOITE;DOMINGO;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;QUEDA;TARDE;TERCA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;TARDE;TERCA-FEIRA;NUBLADO;NORTE;NAO
Cruzamento;COLISAO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;CHUVOSO;NORTE;NAO
Logradouro;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;QUARTA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;SABADO;BOM;NORTE;NAO
Cruzamento;ATROPELAMENTO;MANHA;SEGUNDA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;DOMINGO;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;MADRUGADA;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;NOITE;DOMINGO;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;EVENTUAL;MANHA;SABADO;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;MANHA;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;TARDE;SABADO;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;DOMINGO;NUBLADO;NORTE;NAO
Cruzamento;COLISAO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;NOITE;TERCA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;QUEDA;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;NOITE;SEXTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;MANHA;SABADO;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;TARDE;SEXTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;NOITE;SEXTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;COLISAO;TARDE;QUARTA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;TARDE;TERCA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ATROPELAMENTO;TARDE;QUARTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;COLISAO;MANHA;SABADO;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;NOITE;QUINTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;TARDE;SABADO;BOM;SUL;NAO
Logradouro;EVENTUAL;MANHA;SEGUNDA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;MADRUGADA;SABADO;BOM;SUL;NAO
Logradouro;EVENTUAL;MANHA;QUINTA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;SUL;NAO
Logradouro;CHOQUE;MADRUGADA;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;MADRUGADA;QUARTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;SABADO;NUBLADO;CENTRO;NAO
Logradouro;COLISAO;MANHA;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;NOITE;QUARTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;SABADO;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;NAO
Cruzamento;COLISAO;MANHA;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;TERCA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;TARDE;QUINTA-FEIRA;NUBLADO;SUL;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;EVENTUAL;MANHA;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;CHUVOSO;SUL;NAO
Cruzamento;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;CHOQUE;MANHA;QUINTA-FEIRA;NUBLADO;NORTE;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;NAO
Cruzamento;COLISAO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;DOMINGO;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;NUBLADO;LESTE;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Cruzamento;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;QUARTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;NOITE;QUINTA-FEIRA;NUBLADO;LESTE;NAO
Cruzamento;ABALROAMENTO;MANHA;DOMINGO;BOM;NORTE;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;MADRUGADA;DOMINGO;BOM;SUL;NAO
Logradouro;ATROPELAMENTO;NOITE;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;CHOQUE;TARDE;TERCA-FEIRA;CHUVOSO;NORTE;NAO
Logradouro;ATROPELAMENTO;TARDE;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;TARDE;QUARTA-FEIRA;BOM;LESTE;NAO
Logradouro;COLISAO;NOITE;QUINTA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;QUEDA;MANHA;TERCA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;NOITE;TERCA-FEIRA;BOM;SUL;NAO
Cruzamento;CHOQUE;MANHA;QUARTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;NOITE;QUARTA-FEIRA;NUBLADO;NORTE;NAO
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ATROPELAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;NAO
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;CENTRO;NAO
Cruzamento;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;NORTE;NAO
Logradouro;EVENTUAL;MANHA;QUARTA-FEIRA;CHUVOSO;SUL;NAO
Logradouro;COLISAO;NOITE;SABADO;BOM;SUL;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;NORTE;NAO
Logradouro;CHOQUE;TARDE;QUINTA-FEIRA;BOM;SUL;NAO
Cruzamento;QUEDA;MANHA;TERCA-FEIRA;BOM;SUL;NAO
Logradouro;COLISAO;TARDE;TERCA-FEIRA;CHUVOSO;LESTE;NAO
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;CENTRO;NAO
Logradouro;COLISAO;MANHA;QUINTA-FEIRA;BOM;SUL;NAO
Cruzamento;ABALROAMENTO;NOITE;DOMINGO;CHUVOSO;SUL;NAO
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;NORTE;NAO
Cruzamento;ABALROAMENTO;NOITE;DOMINGO;BOM;NORTE;NAO
Cruzamento;COLISAO;TARDE;QUARTA-FEIRA;BOM;NORTE;NAO
Logradouro;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;NAO
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;CENTRO;NAO
Logradouro;ATROPELAMENTO;TARDE;SEXTA-FEIRA;BOM;SUL;NAO
Cruzamento;COLISAO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;NAO
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;LESTE;NAO
Logradouro;CHOQUE;MANHA;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;COLISAO;TARDE;SABADO;BOM;LESTE;SIM
Logradouro;COLISAO;MANHA;DOMINGO;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;MANHA;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;NOITE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;TARDE;TERCA-FEIRA;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;MANHA;QUINTA-FEIRA;NUBLADO;CENTRO;SIM
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;SIM
Cruzamento;ABALROAMENTO;TARDE;SABADO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MADRUGADA;SABADO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;NOITE;SABADO;BOM;SUL;SIM
Logradouro;COLISAO;MADRUGADA;SABADO;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;DOMINGO;BOM;SUL;SIM
Cruzamento;ABALROAMENTO;TARDE;DOMINGO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;DOMINGO;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;LESTE;SIM
Cruzamento;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;MANHA;QUINTA-FEIRA;BOM;SUL;SIM
Cruzamento;ABALROAMENTO;MADRUGADA;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;NOITE;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;TARDE;SABADO;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;MANHA;SABADO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;NORTE;SIM
Cruzamento;QUEDA;MANHA;SABADO;BOM;NORTE;SIM
Logradouro;CHOQUE;MADRUGADA;SABADO;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;SUL;SIM
Logradouro;QUEDA;MADRUGADA;DOMINGO;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;MANHA;DOMINGO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;MADRUGADA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;TARDE;TERCA-FEIRA;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;TARDE;TERCA-FEIRA;BOM;CENTRO;SIM
Logradouro;COLISAO;TARDE;TERCA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;NOITE;TERCA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;NOITE;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;NORTE;SIM
Cruzamento;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;NOITE;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;CHOQUE;TARDE;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;TARDE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;CHOQUE;MADRUGADA;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;MANHA;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;NOITE;SABADO;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;MANHA;SABADO;BOM;SUL;SIM
Logradouro;CHOQUE;NOITE;SABADO;BOM;LESTE;SIM
Logradouro;COLISAO;NOITE;DOMINGO;BOM;SUL;SIM
Logradouro;CHOQUE;MADRUGADA;DOMINGO;NUBLADO;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;SUL;SIM
Cruzamento;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;MANHA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;COLISAO;NOITE;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;MANHA;QUARTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;QUEDA;MADRUGADA;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;SIM
Cruzamento;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;CENTRO;SIM
Logradouro;QUEDA;MANHA;SABADO;BOM;SUL;SIM
Logradouro;CHOQUE;MANHA;DOMINGO;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;TARDE;DOMINGO;CHUVOSO;NORTE;SIM
Logradouro;QUEDA;MANHA;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;NOITE;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;TARDE;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;NOITE;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;CHOQUE;NOITE;SABADO;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;MANHA;DOMINGO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;NOITE;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;TARDE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;TARDE;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;TARDE;TERCA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;MANHA;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;TARDE;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;MADRUGADA;QUARTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;CHUVOSO;SUL;SIM
Logradouro;ATROPELAMENTO;NOITE;QUARTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;MADRUGADA;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;COLISAO;TARDE;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;TARDE;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;CHOQUE;TARDE;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;CHOQUE;MADRUGADA;SABADO;BOM;LESTE;SIM
Logradouro;COLISAO;TARDE;SABADO;BOM;NORTE;SIM
Logradouro;CHOQUE;MADRUGADA;DOMINGO;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;NOITE;DOMINGO;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;MANHA;TERCA-FEIRA;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;NOITE;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;SIM
Cruzamento;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUARTA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;NOITE;QUINTA-FEIRA;BOM;SUL;SIM
Cruzamento;QUEDA;MANHA;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;TARDE;QUINTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;LESTE;SIM
Cruzamento;ABALROAMENTO;TARDE;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;NOITE;SABADO;BOM;SUL;SIM
Logradouro;QUEDA;NOITE;DOMINGO;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;DOMINGO;BOM;NORTE;SIM
Logradouro;CHOQUE;TARDE;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ATROPELAMENTO;MANHA;TERCA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;QUARTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;NUBLADO;LESTE;SIM
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;NOITE;QUINTA-FEIRA;CHUVOSO;SUL;SIM
Logradouro;ABALROAMENTO;NOITE;SEXTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;MANHA;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;MADRUGADA;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MADRUGADA;SABADO;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;TARDE;SABADO;BOM;SUL;SIM
Logradouro;CHOQUE;MADRUGADA;SABADO;BOM;SUL;SIM
Logradouro;QUEDA;MANHA;DOMINGO;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;DOMINGO;BOM;SUL;SIM
Logradouro;CHOQUE;MANHA;DOMINGO;BOM;SUL;SIM
Logradouro;ATROPELAMENTO;NOITE;DOMINGO;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;DOMINGO;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;NOITE;SEGUNDA-FEIRA;BOM;SUL;SIM
Logradouro;EVENTUAL;MANHA;SEGUNDA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;QUEDA;MANHA;SEGUNDA-FEIRA;BOM;LESTE;SIM
Logradouro;CHOQUE;MANHA;TERCA-FEIRA;BOM;NORTE;SIM
Logradouro;COLISAO;MANHA;TERCA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;TARDE;QUARTA-FEIRA;BOM;CENTRO;SIM
Logradouro;ATROPELAMENTO;MANHA;QUARTA-FEIRA;CHUVOSO;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MANHA;QUARTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;MADRUGADA;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ATROPELAMENTO;NOITE;QUINTA-FEIRA;BOM;LESTE;SIM
Logradouro;ABALROAMENTO;TARDE;QUINTA-FEIRA;CHUVOSO;NORTE;SIM
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;SUL;SIM
Logradouro;ABALROAMENTO;TARDE;SEXTA-FEIRA;BOM;NORTE;SIM
Logradouro;ABALROAMENTO;TARDE;SABADO;BOM;SUL;SIM
